"id","username","date","status"
823201568812044289","danyer83","2017/1/22","Senor presidente nicolas maduro asumo y me ago responsable d lo dicho ahy intitusiones policiales q lo critican le tuenen arrechera"
823201514239983616","LeslyLiliana2","2017/1/22","@LaurenJauregui eso es todo chica Ahy que demostrar que al igual que los hombres también las mujeres pueden"
823201187725918208","JanPP1","2017/1/22","RT @Abaaah: Menurut Populi Center AHY dinilai paling mampu pimpin DKI. Ini indikator keberhasilan debat lalu. Wajar kenaikan elektabilitas…"
823201160685305857","danyer83","2017/1/22","uno denuncia y muchos policias desen asumo lo dicho disen denle gracias a tu presidente maduro ahy organismos q son farsos con nicolad"
823201149595463680","shintaradianti","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823201146466488321","lampunggehh","2017/1/22","#LampungGeh Ketua PKB Jakarta Bicara Gus Dur dan Mengapa Warga Tionghoa harus Memilih AHY https://t.co/xKra77yT2g https://t.co/47U8PbKP2C"
823201145459916800","CeritaLampung","2017/1/22","Ketua PKB Jakarta Bicara Gus Dur dan Mengapa Warga Tionghoa harus Memilih AHY https://t.co/2u3EcJyU7B"
823201126556123138","TuitLampung","2017/1/22","#TuitLampung Ketua PKB Jakarta Bicara Gus Dur dan Mengapa Warga Tionghoa harus Memilih AHY #Lampung #Tuit"
823201125939625988","lampungday","2017/1/22","Ketua PKB Jakarta Bicara Gus Dur dan Mengapa Warga Tionghoa harus Memilih AHY https://t.co/9MivmtEkJp https://t.co/Y1A5JPZw2t"
823201096357138432","kumpulanlampung","2017/1/22","Ketua PKB Jakarta Bicara Gus Dur dan Mengapa Warga Tionghoa harus Memilih AHY https://t.co/Hoknte90Bb"
823200989100539905","laReynadani1","2017/1/22","@RuggeroMondial ahy que lindo"
823200956988801024","AlvayedMustafa","2017/1/22","RT @Bangsa2000: #SatuPutranSaja
AHY For All
AHY Jakarta untuk Rakyat
All For One https://t.co/0sbYuhXcER"
823200779548774400","aisyahridla","2017/1/22","RT @AhyCenter: Sulit utk tdk mengakui bahwa AHY melahirkan cara komunikasi politik yg tidak kaku dan informal. #ApelSiagaJagaAgusSylvi http…"
823200768006057984","aisyahridla","2017/1/22","RT @AhyCenter: AHY memilih sendiri bgmn Ia dan mpok @sylviana_murni berkomunikasi. Bukti bahwa AHY mandiri. #ApelSiagaJagaAgusSylvi https:/…"
823200692789592065","brian_farozi","2017/1/22","RT @AYOJakarta2017: Kemenangan AHY kemenangan warga Jakarta. All For One https://t.co/aQ2bUIWHIq"
823200659927277568","AlfatihHs","2017/1/22","Luar biasa sambutan warga buat AHY. Ayo berSATU pilih Agus-Sylvi untuk DKI makin MAJU. https://t.co/69nKufDB97"
823200650574135299","danyer83","2017/1/22","Ahy personas q compran el vulto de arroz varato disen q lo tralleron de colombia y venden cada arroz a 5 mil bolivares loe comprado"
823200648929759232","Zsalianita","2017/1/22","RT @AYOJakarta2017: Kemenangan AHY kemenangan warga Jakarta. All For One https://t.co/aQ2bUIWHIq"
823200609893367809","aisyahridla","2017/1/22","RT @AhyCenter: Stlah #ApelSiagaJagaAgusSylvi AHY bergerilya lapangan kembali. Kali ini menyapa warga Cibubur https://t.co/JRiWKi2G53"
823200558521556993","natankaharu","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823200507720126464","aisyahridla","2017/1/22","RT @AhyCenter: Gerilya lapangan AHY menyapa warga ditengah aktivitas mereka. #jakartauntukrakyat https://t.co/yy51Utqnrg"
823200476334149635","aisyahridla","2017/1/22","RT @AhyCenter: AHY bersama pemilih pemula. Menjelaskan ttg masa depan Jakarta dan tantangannya #JakartaUntukRakyat https://t.co/rMt1kiRjUg"
823200468146921473","aisyahridla","2017/1/22","RT @AhyCenter: Kaum muda mendapatkan materi ttg kepemimpinan dr AHY. Masa depan Jakarta sgt ditentukan oleh generasi muda #JakartaUntukRaky…"
823200438719655936","aisyahridla","2017/1/22","RT @AhyCenter: Hari ini temanya semangat dan enerjik bersama AHY #JakartaUntukRakyat https://t.co/nHbTPx0ctZ"
823200420054974464","aisyahridla","2017/1/22","RT @SartonoHutomo: “@tsamarahshally: @Abaaah @bambangelf @AhyCenter @GARUDA_AHY @ranabaja @panca66 https://t.co/Pl7wCsu967”"
823200398366257152","aisyahridla","2017/1/22","RT @alimahsunAPKLI: Korcam & Korkel Rel RtRw SeKec Kebayoran Baru Jaksel Jamin AgusSylvi Menang 60% @AhyCenter @AhyFansclub @AHY_fans @Sohi…"
823200243370119169","Surhaan_News","2017/1/22","BADIN:
/
15 Denh Wiyem Me Der Ahy
Indus Hospital Me Ayel Aurat Zainab Lodho Wapes RawaniSeerani Stop Ty Gadi Me Baar Khy Janam Dinaaeen."
823200153330778112","TaufiqMarhaban","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823200039690346496","SSutard","2017/1/22","RT @KawanuaProAhok: Ya Allah Tuhan YME Ini 5 Proyek Hoax SBY Pepo AHY - https://t.co/tJAt4QpRA9 https://t.co/ynLzgWqmnr"
823199982123524097","NadiyyaHkamilah","2017/1/22","RT @Juang_Modjo: Hehehe udh dhapus sama habibthink tuit yg dia nyepin spanduk habib Rizieq dukung AHY.  Fitnah ada expirednya toh 😊😊😊 https…"
823199978210242560","lijdajahra","2017/1/22","RT @ETasdid: #24HariLagiMilihAgusSylvi seminar leadership di plumpang AHY sdh trbukti bisa mmpengaruhi org lain agar brsedia bkerja sama dl…"
823199934069383168","aisyahridla","2017/1/22","RT @AhyCenter: AHY adalah kejutan dlm pilkada DKI. Padanya harapan rakyat kecil mulai menemukan asanya #24HariLagiMilihAgusSylvi https://t.…"
823199813462200320","LoVeMaTa","2017/1/22","RT @GunRomli: Saran buat Annisa Pohan: ini debat Pilgub bukan debat keluarga AHY-Ahok-Anies ini debat Cagub bukan debat Suami Annisa-Vero-…"
823199808106033153","SyukriTakengon","2017/1/22","RT @JalalHusin: perhatikan siapa yang paling sering dihantam oleh rezim jokowi.. kubu AHY atau kubu Anies ? pilihlah cagub yang paling dise…"
823199771405881344","Saricut08193729","2017/1/22","RT @ETasdid: #24HariLagiMilihAgusSylvi seminar leadership di plumpang AHY sdh trbukti bisa mmpengaruhi org lain agar brsedia bkerja sama dl…"
823199675968651264","sabriahrazak","2017/1/22","RT @JalalHusin: perhatikan siapa yang paling sering dihantam oleh rezim jokowi.. kubu AHY atau kubu Anies ? pilihlah cagub yang paling dise…"
823199624940793856","kasanmulyono","2017/1/22","AHY Dukung Kicauan SBY di Twitter soal Hoax - Kursi Panas DKI 1 CNN Indonesia #MakinMantapMilihNo1 @AhyCenter  https://t.co/lG59al2lwd"
823199460951867393","PengenPerubahan","2017/1/22","RT @ETasdid: #24HariLagiMilihAgusSylvi seminar leadership di plumpang AHY sdh trbukti bisa mmpengaruhi org lain agar brsedia bkerja sama dl…"
823199448662560770","Ichwanzein","2017/1/22","RT @JalalHusin: @Hannibal1921 betullihat gerakan dia mepet islam terusdisatu sisi AHY digiring jauhi ulama terus kasus FPI lah makar lah…"
823199445864955905","aisyahridla","2017/1/22","RT @AspirasiKu1: @Rumah_Politik @Abaaah @hincapandjaitan @dimasprakbar @AjengCute16 @GARUDA_AHY @karib_ahy @AhyCenter @monethamrin @AYOJaka…"
823199433454063617","bffb300aff02425","2017/1/22","RT @gerilyapolitik: AHY dan FPI Haramkan Acara Wayang Kulit Djarot https://t.co/xfV8tDwfND https://t.co/DtjySU7yNj"
823199406472056833","aisyahridla","2017/1/22","RT @AYOJakarta2017: Kemenangan AHY kemenangan warga Jakarta. All For One https://t.co/aQ2bUIWHIq"
823199290658996225","evisusilawati","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823199271264481280","AndikaAnbrata","2017/1/22","RT @GunRomli: Bg saya Perayaan Natal Demokrat yg dihadiri SBY-AHY-Sylvi unt pencitraan politik belaka: momen uda lewat ada joget2 dangdut…"
823199148199608320","manoosha2000","2017/1/22","RT @MA15604074: @manoosha2000 w broh 3la surtk akhodha f hodny w anam ... ahy haga w btsbrny 3la el ayam :))"
823199138879832065","samuel1288","2017/1/22","RT @OrtografiaReal: Las palabras que más duelen:
Ira.
Haiga.
Vistes.
Nadien.
Ahy.
Ansina.
La calor."
823199103022575618","aisyahridla","2017/1/22","RT @akbaaa245: Kita AHY pilih nomor 1. All For One https://t.co/AZF8sSPQRZ"
823199101684748288","MA15604074","2017/1/22","@manoosha2000 w broh 3la surtk akhodha f hodny w anam ... ahy haga w btsbrny 3la el ayam :))"
823199096231981057","ichiewahyudi","2017/1/22","RT @panca66: Bbrp waktu lalu mrk jg nyebar spanduk begini. Kita cepat tahu dan kasih informasi di socmed ini bkn bikinan tim AHY https://t.…"
823198841377734657","WellToto","2017/1/22","RT @BersatuTapiBeda: #LoGueAhok
https://t.co/joXHNkbdV6
Ya Allah Tuhan YME Ini 5 Proyek Hoax SBY Pepo AHY"
823198719696740352","Bastiandws","2017/1/22","RT @didiklpambudi: Atasi Masalah @AgusYudhoyono Tawarkan Solusi Berbasis IT https://t.co/4goDo0E4S8 @SBYudhoyono @hincapandjaitan @Edhie_B…"
823198710699917312","dianogank","2017/1/22","RT @BersatuTapiBeda: #LoGueAhok
https://t.co/bj7bzZ9bR7
Terbongkar! Gagal Pilgub DKI AHY Sudah Disiapkan di Pilgub Jatim 2018"
823198649719005184","Dadang2618","2017/1/22","RT @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY https://t.co/FENeP9mTB3 https://t.co/FEsYHguAZK"
823198551194746881","ali_alamoana","2017/1/22","50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/xszmrLq8R7"
823198359993229313","Twisted_Sajiyya","2017/1/22","@ahmadalif80. Pencalonan bocah ingusan AHY yg masih digendong babe oleh GURITA CIKEAS adlh BAHAYA MAUT. KORUPSI."
823198339667591169","cubby_ghum","2017/1/22","RT @GARUDA_AHY: Retweeted Ican Lj (@lj_ican):

Bang @cubby_ghum @abaah @AgusFansClub_ @SohibAHY @GARUDA_AHY @karib_ahy... https://t.co/ViYY…"
823198297640738816","GARUDA_AHY","2017/1/22","Retweeted Ican Lj (@lj_ican):

Bang @cubby_ghum @abaah @AgusFansClub_ @SohibAHY @GARUDA_AHY @karib_ahy... https://t.co/ViYYpX8VLj"
823198294826512384","SkerrattM","2017/1/22","Alice vai pro ahy"
823198289222766593","aminsalahudine","2017/1/22","Ko giliran AHY DAN SYLVI RAYAIN natal sambil joget2 MUI MA FPI GA KELUARIN FATWA HARAM MALAH PD DIAM"
